"ENSEMBL","SYMBOL","CHR","BEST.GWAS.ID","TWAS.P"
"ENSG00000008128","CDK11A",1,"rs11589067","0.822794"
"ENSG00000008130","NADK",1,"rs11589067","0.712066"
"ENSG00000008226","DLEC1",3,"rs3805040","0.32120"
"ENSG00000008256","CYTH3",7,"rs10226253","0.303950"
"ENSG00000008277","ADAM22",7,"rs12720066","0.727840"
"ENSG00000008282","SYPL1",7,"rs375981","0.010928"
"ENSG00000008283","CYB561",17,"rs3730043","6.71e-01"
"ENSG00000008294","SPAG9",17,"rs4794243","7.69e-01"
"ENSG00000008300","CELSR3",3,"rs35452137","0.86422"
"ENSG00000008311","AASS",7,"rs1501402","0.155611"
"ENSG00000008324","SS18L2",3,"rs2286719","0.63836"
"ENSG00000008382","MPND",19,"rs7251000","0.873669"
"ENSG00000008394","MGST1",12,"rs1405513","0.81188"
"ENSG00000008438","PGLYRP1",19,"rs7359899","0.417103"
"ENSG00000008441","NFIX",19,"rs8104676","0.784085"
"ENSG00000008513","ST3GAL1",8,"rs7813257","2.59e-01"
"ENSG00000008516","MMP25",16,"rs11076933","0.863265"
"ENSG00000008517","IL32",16,"rs11076933","0.925931"
"ENSG00000008735","MAPK8IP2",22,"rs761744","0.84070"
"ENSG00000008838","MED24",17,"rs4134999","2.30e-01"
"ENSG00000008853","RHOBTB2",8,"rs11135686","6.25e-01"
"ENSG00000008869","HEATR5B",2,"rs888096","0.821470"
"ENSG00000008952","SEC62",3,"rs7613341","0.32951"
"ENSG00000008988","RPS20",8,"rs7830787","8.35e-01"
"ENSG00000009307","CSDE1",1,"rs11102772","0.264083"
"ENSG00000009335","UBE3C",7,"rs1182392","0.834448"
"ENSG00000009413","REV3L",6,"rs7770556","0.35422"
"ENSG00000009765","IYD",6,"rs7757826","0.82748"
"ENSG00000009780","FAM76A",1,"rs1767523","0.419666"
"ENSG00000009790","TRAF3IP3",1,"rs996146","0.353819"
"ENSG00000009830","POMT2",14,"rs10135535","0.056237"
"ENSG00000009844","VTA1",6,"rs263169","0.07960"
"ENSG00000009950","MLXIPL",7,"rs4717097","0.483343"
"ENSG00000009954","BAZ1B",7,"rs4717097","0.901518"
"ENSG00000010017","RANBP9",6,"rs853377","0.59334"
"ENSG00000010030","ETV7",6,"rs12199702","0.11059"
"ENSG00000010072","SPRTN",1,"rs4658879","0.582299"
"ENSG00000010165","METTL13",1,"rs6692129","0.226465"
"ENSG00000010244","ZNF207",17,"rs9901111","6.51e-01"
"ENSG00000010270","STARD3NL",7,"rs1524058","0.424769"
"ENSG00000010282","HHATL",3,"rs9840881","0.73687"
"ENSG00000010292","NCAPD2",12,"rs10774442","0.56936"
"ENSG00000010295","IFFO1",12,"rs10774442","0.39979"
"ENSG00000010310","GIPR",19,"rs8111989","0.252624"
"ENSG00000010322","NISCH",3,"rs2276816","0.45869"
"ENSG00000010327","STAB1",3,"rs2276816","0.22133"
"ENSG00000010379","SLC6A13",12,"rs628121","0.67288"
"ENSG00000010438","PRSS3",9,"rs10814064","0.20337"
"ENSG00000010539","ZNF200",16,"rs11076933","0.834320"
"ENSG00000010610","CD4",12,"rs10774442","0.23523"
"ENSG00000010626","LRRC23",12,"rs10774442","0.91162"
"ENSG00000010803","SCMH1",1,"rs12044786","0.847229"
"ENSG00000010810","FYN",6,"rs7770556","0.90924"
"ENSG00000010818","HIVEP2",6,"rs223588","0.51698"
"ENSG00000010932","FMO1",1,"rs2064074","0.729291"
"ENSG00000011007","ELOA",1,"rs11249021","0.941806"
"ENSG00000011009","LYPLA2",1,"rs11249021","0.106686"
"ENSG00000011021","CLCN6",1,"rs2295281","0.608148"
"ENSG00000011028","MRC2",17,"rs2002009","5.05e-01"
"ENSG00000011083","SLC6A7",5,"rs10037049","0.95933"
"ENSG00000011105","TSPAN9",12,"rs7980158","0.66979"
"ENSG00000011114","BTBD7",14,"rs2064951","0.215132"
"ENSG00000011132","APBA3",19,"rs350916","0.229146"
"ENSG00000011143","MKS1",17,"rs8071217","4.44e-01"
"ENSG00000011198","ABHD5",3,"rs4502556","0.87524"
"ENSG00000011243","AKAP8L",19,"rs7258651","0.666468"
"ENSG00000011258","MBTD1",17,"rs4794243","1.25e-01"
"ENSG00000011275","RNF216",7,"rs10226253","0.258898"
"ENSG00000011295","TTC19",17,"rs3813769","4.41e-01"
"ENSG00000011304","PTBP1",19,"rs2305113","0.875245"
"ENSG00000011347","SYT7",11,"rs3019200","0.75483"
"ENSG00000011376","LARS2",3,"rs17077548","0.75137"
"ENSG00000011405","PIK3C2A",11,"rs4757544","0.04433"
"ENSG00000011426","ANLN",7,"rs12530870","0.926698"
"ENSG00000011451","WIZ",19,"rs2018454","0.482679"
"ENSG00000011454","RABGAP1",9,"rs10760278","0.36306"
"ENSG00000011465","DCN",12,"rs7136728","0.65635"
"ENSG00000011478","QPCTL",19,"rs8111989","0.570714"
"ENSG00000011485","PPP5C",19,"rs7359899","0.806456"
"ENSG00000011523","CEP68",2,"rs17029539","0.791780"
"ENSG00000011590","ZBTB32",19,"rs3746250","0.103677"
"ENSG00000011600","TYROBP",19,"rs12971516","0.867370"
"ENSG00000011638","LDAF1",16,"rs9933675","0.632387"
"ENSG00000012048","BRCA1",17,"rs2229595","7.39e-01"
"ENSG00000012061","ERCC1",19,"rs8111989","0.547464"
"ENSG00000012124","CD22",19,"rs1688021","0.305363"
"ENSG00000012171","SEMA3B",3,"rs2023952","0.11665"
"ENSG00000012223","LTF",3,"rs7430431","0.27439"
"ENSG00000012232","EXTL3",8,"rs240911","3.99e-01"
"ENSG00000012660","ELOVL5",6,"rs209513","0.74216"
"ENSG00000012779","ALOX5",10,"rs10793583","0.12885"
"ENSG00000012822","CALCOCO1",12,"rs6580961","0.52437"
"ENSG00000012963","UBR7",14,"rs3759719","0.122831"
"ENSG00000012983","MAP4K5",14,"rs3759525","0.363350"
"ENSG00000013016","EHD3",2,"rs6709502","0.906860"
"ENSG00000013275","PSMC4",19,"rs10401972","0.147617"
"ENSG00000013288","MAN2B2",4,"rs10937762","0.465504"
"ENSG00000013297","CLDN11",3,"rs1045210","0.70024"
"ENSG00000013306","SLC25A39",17,"rs231471","8.65e-01"
"ENSG00000013374","NUB1",7,"rs7788160","0.960122"
"ENSG00000013375","PGM3",6,"rs1538356","0.46501"
"ENSG00000013392","RWDD2A",6,"rs1538356","0.61286"
"ENSG00000013503","POLR3B",12,"rs1991296","0.48081"
"ENSG00000013523","ANGEL1",14,"rs17796060","0.171153"
"ENSG00000013561","RNF14",5,"rs12653948","0.25906"
"ENSG00000013583","HEBP1",12,"rs11055424","0.73729"
"ENSG00000013725","CD6",11,"rs509936","0.98245"
"ENSG00000013810","TACC3",4,"rs4376202","0.755752"
"ENSG00000014123","UFL1",6,"rs7761211","0.09792"
"ENSG00000014138","POLA2",11,"rs4149818","0.91595"
"ENSG00000014164","ZC3H3",8,"rs6993938","9.95e-01"
"ENSG00000014216","CAPN1",11,"rs4149818","0.35436"
"ENSG00000014257","ACP3",3,"rs6769343","0.27963"
"ENSG00000014641","MDH1",2,"rs984682","0.293718"
"ENSG00000014824","SLC30A9",4,"rs4861164","0.180145"
"ENSG00000014914","MTMR11",1,"rs10480","0.487682"
"ENSG00000014919","COX15",10,"rs1998290","0.18286"
"ENSG00000015133","CCDC88C",14,"rs1951244","0.952451"
"ENSG00000015153","YAF2",12,"rs17091317","0.95056"
"ENSG00000015413","DPEP1",16,"rs12930631","0.644218"
"ENSG00000015475","BID",22,"rs458888","0.86737"
"ENSG00000015520","NPC1L1",7,"rs2908277","0.723847"
"ENSG00000015532","XYLT2",17,"rs2018660","1.75e-01"
"ENSG00000015592","STMN4",8,"rs9331896","6.33e-01"
"ENSG00000015676","NUDCD3",7,"rs2908277","0.943329"
"ENSG00000016082","ISL1",5,"rs10512927","0.80748"
"ENSG00000016391","CHDH",3,"rs12493744","0.84685"
"ENSG00000016402","IL20RA",6,"rs2237270","0.92097"
"ENSG00000016602","CLCA4",1,"rs12723978","0.883921"
"ENSG00000017260","ATP2C1",3,"rs17275526","0.98484"
"ENSG00000017427","IGF1",12,"rs2373913","0.47189"
"ENSG00000017797","RALBP1",18,"rs329028","0.16062"
"ENSG00000018189","RUFY3",4,"rs13126044","0.070950"
"ENSG00000018236","CNTN1",12,"rs17128536","0.80529"
"ENSG00000018280","SLC11A1",2,"rs7596898","0.846959"
"ENSG00000018408","WWTR1",3,"rs9838048","0.99202"
"ENSG00000018510","AGPS",2,"rs10190526","0.848526"
"ENSG00000018625","ATP1A2",1,"rs2789422","0.082035"
"ENSG00000018699","TTC27",2,"rs438695","0.735722"
"ENSG00000018869","ZNF582",19,"rs306472","0.440266"
"ENSG00000019102","VSIG2",11,"rs7112607","0.87939"
"ENSG00000019144","PHLDB1",11,"rs4938576","0.49587"
"ENSG00000019169","MARCO",2,"rs6718150","0.838993"
"ENSG00000019186","CYP24A1",20,"rs290391","0.03911"
"ENSG00000019485","PRDM11",11,"rs11038079","0.52608"
"ENSG00000019505","SYT13",11,"rs11605047","0.28265"
"ENSG00000019582","CD74",5,"rs10037049","0.28462"
"ENSG00000020129","NCDN",1,"rs3002680","0.243510"
"ENSG00000020256","ZFP64",20,"rs6021621","0.23425"
"ENSG00000020426","MNAT1",14,"rs12147034","0.948174"
"ENSG00000020633","RUNX3",1,"rs380497","0.132471"
"ENSG00000020922","MRE11",11,"rs11020993","0.97071"
"ENSG00000021300","PLEKHB1",11,"rs7119270","0.98743"
"ENSG00000021355","SERPINB1",6,"rs35374935","0.99601"
"ENSG00000021461","CYP3A43",7,"rs12705058","0.539876"
"ENSG00000021488","SLC7A9",19,"rs752503","0.911127"
"ENSG00000021574","SPAST",2,"rs527112","0.196476"
"ENSG00000021645","NRXN3",14,"rs929703","0.076561"
"ENSG00000021762","OSBPL5",11,"rs4297442","0.12998"
"ENSG00000021776","AQR",15,"rs8024405","0.39466"
"ENSG00000021826","CPS1",2,"rs1991564","0.604926"
"ENSG00000021852","C8B",1,"rs1857293","0.196253"
"ENSG00000022277","RTF2",20,"rs4810046","0.48268"
"ENSG00000022556","NLRP2",19,"rs4806471","0.440040"
"ENSG00000022567","SLC45A4",8,"rs13274472","9.15e-01"
"ENSG00000022840","RNF10",12,"rs2269940","0.03799"
"ENSG00000022976","ZNF839",14,"rs4900525","0.337559"
"ENSG00000023041","ZDHHC6",10,"rs17267338","0.09839"
"ENSG00000023171","GRAMD1B",11,"rs1148096","0.00357"
"ENSG00000023191","RNH1",11,"rs10902112","0.51827"
"ENSG00000023228","NDUFS1",2,"rs2300971","0.692541"
"ENSG00000023287","RB1CC1",8,"rs183117","9.89e-01"
"ENSG00000023318","ERP44",9,"rs12005789","0.87603"
"ENSG00000023330","ALAS1",3,"rs11929028","0.24056"
"ENSG00000023445","BIRC3",11,"rs11602852","0.46907"
"ENSG00000023516","AKAP11",13,"rs2148656","0.86495"
"ENSG00000023572","GLRX2",1,"rs1234722","0.887870"
"ENSG00000023608","SNAPC1",14,"rs17099472","0.148458"
"ENSG00000023697","DERA",12,"rs1405513","0.94658"
"ENSG00000023734","STRAP",12,"rs4764191","0.50222"
"ENSG00000023839","ABCC2",10,"rs1998290","0.29663"
"ENSG00000023892","DEF6",6,"rs16874216","0.45991"
"ENSG00000023902","PLEKHO1",1,"rs7543465","0.193601"
"ENSG00000023909","GCLM",1,"rs12077584","0.614964"
"ENSG00000024048","UBR2",6,"rs7763360","0.90369"
"ENSG00000024526","DEPDC1",1,"rs17130585","0.154157"
"ENSG00000025039","RRAGD",6,"rs13194649","0.41737"
"ENSG00000025156","HSF2",6,"rs9490550","0.89858"
"ENSG00000025293","PHF20",20,"rs2425052","0.83679"
"ENSG00000025423","HSD17B6",12,"rs812279","0.01618"
"ENSG00000025434","NR1H3",11,"rs12577603","0.25186"
"ENSG00000025708","TYMP",22,"rs761744","0.05165"
"ENSG00000025770","NCAPH2",22,"rs713669","0.80948"
"ENSG00000025772","TOMM34",20,"rs2057637","0.17046"
"ENSG00000025796","SEC63",6,"rs17282486","0.18650"
"ENSG00000025800","KPNA6",1,"rs12143813","0.987234"
"ENSG00000026103","FAS",10,"rs7088326","0.11995"
"ENSG00000026297","RNASET2",6,"rs9457250","0.71478"
"ENSG00000026508","CD44",11,"rs737502","0.30927"
"ENSG00000026559","KCNG1",20,"rs228835","0.61919"
"ENSG00000026652","AGPAT4",6,"rs3734462","0.46966"
"ENSG00000026751","SLAMF7",1,"rs2295613","0.326771"
"ENSG00000027001","MIPEP",13,"rs9510987","0.51698"
"ENSG00000027075","PRKCH",14,"rs12147034","0.380487"
"ENSG00000027847","B4GALT7",5,"rs4604209","0.21979"
"ENSG00000028116","VRK2",2,"rs17227657","0.297100"
"ENSG00000028203","VEZT",12,"rs2769444","0.44410"
"ENSG00000028277","POU2F2",19,"rs7258854","0.411077"
"ENSG00000028310","BRD9",5,"rs3810859","0.37940"
"ENSG00000028528","SNX1",15,"rs3843699","0.63621"
"ENSG00000028839","TBPL1",6,"rs17063315","0.52478"
"ENSG00000029153","BMAL2",12,"rs374484","0.84774"
"ENSG00000029363","BCLAF1",6,"rs7747433","0.15943"
"ENSG00000029364","SLC39A9",14,"rs8014019","0.894193"
"ENSG00000029534","ANK1",8,"rs490157","1.41e-01"
"ENSG00000029639","TFB1M",6,"rs9480081","0.34244"
"ENSG00000029725","RABEP1",17,"rs1806232","1.74e-01"
"ENSG00000030066","NUP160",11,"rs2626567","0.91782"
"ENSG00000030304","MUSK",9,"rs7875113","0.89612"
"ENSG00000030582","GRN",17,"rs231471","4.01e-01"
"ENSG00000031003","FAM13B",5,"rs13156862","0.62666"
"ENSG00000031081","ARHGAP31",3,"rs4688029","0.93544"
"ENSG00000031691","CENPQ",6,"rs2147569","0.08521"
"ENSG00000031698","SARS1",1,"rs2990878","0.500947"
"ENSG00000032219","ARID4A",14,"rs7145852","0.417366"
"ENSG00000032389","EIPR1",2,"rs13393791","0.336365"
"ENSG00000032444","PNPLA6",19,"rs2860172","0.078245"
"ENSG00000032742","IFT88",13,"rs9509124","0.57672"
"ENSG00000033030","ZCCHC8",12,"rs1169091","0.86127"
"ENSG00000033050","ABCF2",7,"rs7805747","0.358608"
"ENSG00000033100","CHPF2",7,"rs7805747","0.016302"
"ENSG00000033122","LRRC7",1,"rs7511650","0.867370"
"ENSG00000033170","FUT8",14,"rs34957364","0.821979"
"ENSG00000033178","UBA6",4,"rs3935662","0.466002"
"ENSG00000033327","GAB2",11,"rs674002","0.57821"
"ENSG00000033800","PIAS1",15,"rs3784351","0.84325"
"ENSG00000033867","SLC4A7",3,"rs4680882","0.78793"
"ENSG00000034053","APBA2",15,"rs547857","0.27704"
"ENSG00000034152","MAP2K3",17,"rs3760201","9.63e-01"
"ENSG00000034239","CLXN",8,"rs6472114","8.71e-01"
"ENSG00000034510","TMSB10",2,"rs17025827","0.132839"
"ENSG00000034533","ASTE1",3,"rs17354529","0.76634"
"ENSG00000034677","RNF19A",8,"rs13278341","2.78e-01"
"ENSG00000034693","PEX3",6,"rs223588","0.07361"
"ENSG00000034713","GABARAPL2",16,"rs9927309","0.511181"
"ENSG00000034971","MYOC",1,"rs6692129","0.282375"
"ENSG00000035115","SH3YL1",2,"rs17042065","0.163016"
"ENSG00000035141","FAM136A",2,"rs4852500","0.879976"
"ENSG00000035403","VCL",10,"rs4746158","0.57274"
"ENSG00000035499","DEPDC1B",5,"rs37684","0.12776"
"ENSG00000035664","DAPK2",15,"rs3843699","0.05756"
"ENSG00000035681","NSMAF",8,"rs12115045","1.32e-02"
"ENSG00000035687","ADSS2",1,"rs10927336","0.664288"
"ENSG00000035720","STAP1",4,"rs3935662","0.365113"
"ENSG00000035862","TIMP2",17,"rs7221761","7.61e-02"
"ENSG00000035928","RFC1",4,"rs17584703","0.856368"
"ENSG00000036054","TBC1D23",3,"rs4928088","0.74745"
"ENSG00000036257","CUL3",2,"rs10210032","0.722530"
"ENSG00000036448","MYOM2",8,"rs2977187","6.29e-01"
"ENSG00000036530","CYP46A1",14,"rs4905881","0.028597"
"ENSG00000036549","ZZZ3",1,"rs661038","0.888288"
"ENSG00000036672","USP2",11,"rs948414","0.65369"
"ENSG00000037042","TUBG2",17,"rs2229595","9.62e-01"
"ENSG00000037241","RPL26L1",5,"rs6556070","0.55988"
"ENSG00000037280","FLT4",5,"rs4247235","0.32071"
"ENSG00000037474","NSUN2",5,"rs1496367","0.45620"
"ENSG00000037637","FBXO42",1,"rs11260930","0.053483"
"ENSG00000037749","MFAP3",5,"rs6580048","0.10886"
"ENSG00000037757","MRI1",19,"rs8104676","0.438469"
"ENSG00000037897","METTL1",12,"rs4760158","0.04946"
"ENSG00000037965","HOXC8",12,"rs6580961","0.22537"
"ENSG00000038002","AGA",4,"rs2271101","0.068081"
"ENSG00000038210","PI4K2B",4,"rs800464","0.572754"
"ENSG00000038219","BOD1L1",4,"rs13112901","0.509941"
"ENSG00000038274","MAT2B",5,"rs10076898","0.62348"
"ENSG00000038295","TLL1",4,"rs922096","0.902107"
"ENSG00000038532","CLEC16A",16,"rs1035089","0.204707"
"ENSG00000038945","MSR1",8,"rs13259717","1.45e-01"
"ENSG00000039123","MTREX",5,"rs17627308","0.58888"
"ENSG00000039139","DNAH5",5,"rs6554809","0.72305"
"ENSG00000039319","ZFYVE16",5,"rs249008","0.92114"
"ENSG00000039523","RIPOR1",16,"rs16957447","0.212397"
"ENSG00000039537","C6",5,"rs10062565","0.34041"
"ENSG00000039560","RAI14",5,"rs256296","0.95265"
"ENSG00000039600","SOX30",5,"rs3734032","0.86417"
"ENSG00000039650","PNKP",19,"rs8108243","0.396784"
"ENSG00000040199","PHLPP2",16,"rs17668523","0.715858"
"ENSG00000040275","SPDL1",5,"rs9313483","0.77196"
"ENSG00000040341","STAU2",8,"rs6472822","8.15e-01"
"ENSG00000040487","SLC66A1",1,"rs4326647","0.324081"
"ENSG00000040531","CTNS",17,"rs8065080","4.63e-01"
"ENSG00000040633","PHF23",17,"rs1509120","2.12e-01"
"ENSG00000040731","CDH10",5,"rs10942077","0.76190"
"ENSG00000040933","INPP4A",2,"rs12622653","0.719809"
"ENSG00000041353","RAB27B",18,"rs1944371","0.88973"
"ENSG00000041357","PSMA4",15,"rs4887033","0.38477"
